,Vibration(1-5),Vibration(6-8),"Distance(1, 2)","Distance(1, 5)","Distance(1, 8)","Distance(10, 17)","Distance(4, 20)","Distance(6, 8)","Distance(6, 22)","Distance(5, 22)","Distance(22, 24)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_17,NPA_20,NPA_22,NPA_24,NPA_25,NPA_difference_1_5,NPA_difference_6_8,NPA_difference_22_24,NPA_difference_22_25,Dihedral(5_1_8_6),Dihedral(2_1_8_6),Dihedral(1_5_22_25),Dihedral(8_6_22_24),Angle(5_22_25),Angle(25_22_24),Angle(24_22_6),Angle(5_22_6),Iso polarisabilty,Aniso polarisabilty,ddg
L1,1776.6585,1790.5918,1.316653724,1.275121355,1.476624945,1.54045793,1.53936828,1.271792956,2.062942695,2.032723532,2.563436193,-6.4729,-6.7177,1.0909,9.3923,0.61883,-0.5329,-0.0676,-0.07097,-0.55334,-0.55542,-0.53697,0.60872,-0.06987,-0.07652,-0.26871,-0.2647,0.7175,-0.54227,-0.30991,1.17217,-1.16414,1.25977,1.02741,1.630285432,177.9926655,179.7417639,168.2501466,91.8224379,96.48819919,92.92168412,79.21728102,341.572,121.665,1.369963165
L11,1777.9551,1792.1772,1.315438805,1.275117714,1.47757727,1.538065522,1.538067945,1.271577642,2.060640081,2.03816898,2.557906802,-7.1274,-7.2523,1.1079,10.2286,0.62051,-0.53145,-0.06545,-0.0704,-0.55532,-0.55915,-0.53608,0.60975,-0.0673,-0.07699,-0.2753,-0.27124,0.71913,-0.54536,-0.30839,1.17583,-1.1689,1.26449,1.02752,0.37113031,179.0754779,175.8832599,168.5632143,91.84015989,96.02867691,92.65983563,79.50926712,252.458,104.517,0.871175735
L14,1778.4624,1792.1612,1.316874166,1.274723533,1.478079244,1.527008183,1.527142859,1.271654674,2.068841132,2.015091102,2.562428632,-6.856,-7.3253,0.7785,10.0634,0.61875,-0.53354,-0.05948,-0.06878,-0.55139,-0.55541,-0.53722,0.60785,-0.06154,-0.07492,-0.45981,-0.45837,0.72457,-0.55297,-0.31292,1.17014,-1.16326,1.27754,1.03749,0.212256979,178.1455454,179.4346915,168.6525122,92.33737306,96.20337053,92.74864649,79.18912801,277.635,115.267,0.571040609
L15,1778.5906,1791.6389,1.315316077,1.274956711,1.47783657,1.537806356,1.537066018,1.27165683,2.05919544,2.040084824,2.557662327,-6.9479,-7.1105,1.1377,10.0062,0.62092,-0.53152,-0.06444,-0.0664,-0.555,-0.55924,-0.53593,0.60999,-0.06644,-0.07395,-0.27504,-0.27272,0.72013,-0.54476,-0.30604,1.17592,-1.16923,1.26489,1.02617,0.19204682,179.8682032,174.8985554,168.8567492,91.6819724,95.87723647,92.8794099,79.49884649,275.056,116.696,0.878023403
L16,1778.3829,1790.7771,1.315365927,1.27485003,1.478208144,1.519954556,1.512798068,1.272191882,2.085336199,2.01655162,2.552095678,-7.0093,-6.9411,1.5821,9.9906,0.61784,-0.5316,-0.05326,-0.0753,-0.54781,-0.56019,-0.53351,0.61511,-0.05681,-0.08201,-0.06882,-0.07184,0.70733,-0.53913,-0.29617,1.16565,-1.1753,1.24646,1.0035,0.416529944,177.1905221,174.1985277,161.7588707,91.91985136,96.84775988,92.34237434,79.29714047,303.522,135.003,0.670422056
L17,1773.085,1786.8965,1.315872709,1.275657964,1.479125625,1.534222057,1.535196842,1.272784195,2.064788003,2.010442363,2.562261472,-6.7893,-7.1908,0.5638,9.9055,0.62112,-0.53251,-0.05878,-0.06273,-0.5556,-0.56066,-0.53611,0.61049,-0.06046,-0.06798,-0.46525,-0.46346,0.72245,-0.5517,-0.31327,1.17672,-1.17115,1.27415,1.03572,0.145299495,178.1347279,179.5790394,170.4970261,92.05911337,96.2907499,92.88449641,79.08994748,336.444,216.137,0.623198065
L18,1773.1035,1788.8649,1.314866795,1.27616614,1.476455823,1.516747765,1.515367133,1.272049378,2.062850618,2.057688848,2.567208719,-7.8464,-7.4849,-0.3488,10.8494,0.62389,-0.54017,0.12905,-0.06429,-0.55439,-0.55773,-0.54487,0.61699,0.12743,-0.07166,-0.07093,-0.07356,0.74109,-0.55052,-0.31521,1.17828,-1.17472,1.29161,1.0563,4.261206032,174.6169181,178.8569674,167.525873,93.52249203,95.5527592,91.53000176,79.58603927,324.29,126.468,0.100904886
L19,1783.9674,1796.285,1.312224695,1.27466525,1.479164523,1.529397068,1.52950912,1.271541575,2.064966093,2.009108234,2.556437992,-6.2722,-6.415,0.6296,8.9938,0.63559,-0.52468,-0.05582,-0.15972,-0.54801,-0.5518,-0.52974,0.62413,-0.05724,-0.1638,0.87616,0.87835,0.72579,-0.54518,-0.30944,1.1836,-1.17593,1.27097,1.03523,8.85513948,170.5308989,176.356887,175.6079144,91.40421428,96.8669639,92.68960089,79.07376579,235.452,99.3971,0.614737304
L20,1772.0571,1794.3876,1.310402626,1.277308051,1.477754846,1.532950571,1.536385012,1.271679276,2.05584303,2.034062147,2.5608958,-5.578,-6.0934,-0.118,8.2618,0.63242,-0.52254,-0.06099,-0.15707,-0.55629,-0.55384,-0.53055,0.62398,-0.05626,-0.16224,0.87411,0.87678,0.73052,-0.54878,-0.3017,1.18871,-1.17782,1.2793,1.03222,4.663115571,176.2713212,174.7384606,175.7014805,92.74915484,96.58468096,91.62287779,79.09041019,280.611,103.132,0.315774504
L21,1764.2774,1796.0195,1.319147976,1.277517024,1.475923307,1.539308111,1.526847997,1.270913366,2.069826722,2.102095653,2.572801736,-7.8638,-5.3734,3.0087,9.9883,0.61561,-0.53357,-0.06639,-0.06551,-0.55814,-0.56421,-0.53775,0.60765,-0.05791,-0.08196,-0.26816,-0.26909,0.74203,-0.5371,-0.3087,1.17375,-1.17186,1.27913,1.05073,5.219232026,170.6016593,155.1928181,153.9347384,96.99802822,91.2465783,91.25936637,79.60565887,290.149,114.409,1.366357247
L22,1779.0188,1792.8093,1.315014011,1.274900109,1.47778415,1.534508535,1.533203572,1.271471454,2.057085351,2.043730643,2.557266227,-6.8031,-6.8977,1.346,9.7813,0.62183,-0.53121,-0.06351,-0.06175,-0.55453,-0.55889,-0.53595,0.61092,-0.06577,-0.06967,-0.27982,-0.2774,0.72008,-0.54294,-0.30489,1.17636,-1.16981,1.26302,1.02497,0.521337799,179.1370188,175.182258,169.116482,91.82528739,95.61397378,92.91960773,79.60390555,311.336,112.717,1.038793132
L23,1722.1181,1740.9568,1.362056613,1.286072068,1.485342024,1.539885175,1.53919982,1.282807339,2.054970089,2.02561248,2.571360243,-8.9919,-8.2803,4.9472,13.1868,0.49177,-0.50877,-0.21109,-0.0424,-0.54658,-0.54875,-0.51554,0.4795,-0.21139,-0.04802,-0.27658,-0.27295,0.72461,-0.55375,-0.32402,1.03835,-1.02825,1.27836,1.04863,16.56061345,162.6990256,179.5545915,172.205116,92.44875517,96.25979691,92.7882304,79.46767605,410.093,190.287,0.912017579
L24,1718.5043,1737.1705,1.356442401,1.288176002,1.48451096,1.540013433,1.539148678,1.284351952,2.048914621,2.024410887,2.579086482,-8.6737,-12.8175,1.8953,15.5921,0.49485,-0.50688,-0.20943,-0.04232,-0.55828,-0.55836,-0.5074,0.48534,-0.21203,-0.0473,-0.27581,-0.2722,0.73052,-0.56325,-0.32681,1.05313,-1.0437,1.29377,1.05733,16.20280359,162.9344991,179.4406083,170.6988941,92.59794366,96.38474492,92.5095447,79.60664359,484.163,207.484,1.191065648
L25,1738.3597,1715.5757,1.357463967,1.284556805,1.486436074,1.5417161,1.552950066,1.286463609,2.331342784,1.972559036,2.563297124,-8.3834,-11.9673,1.1754,14.6587,0.49943,-0.49999,-0.20841,-0.04176,-0.56429,-0.55313,-0.52451,0.47449,-0.20719,-0.04326,-0.08482,-0.08793,0.75105,-0.56105,-0.30143,1.06372,-1.02762,1.3121,1.05248,24.08810673,159.463408,140.6507074,173.1479916,89.75720933,97.03989278,108.0205638,77.44129343,410.747,164.745,0.839541396
L26,1717.4911,1736.9005,1.357182457,1.287896058,1.484868459,1.540212534,1.539410713,1.284051677,2.053617579,2.007842153,2.578093255,-8.3781,-12.0032,2.4805,14.8467,0.49399,-0.50607,-0.20933,-0.04566,-0.55546,-0.55387,-0.51104,0.48414,-0.21192,-0.05177,-0.27501,-0.27162,0.72968,-0.56351,-0.32544,1.04945,-1.03801,1.29319,1.05512,15.64984768,163.9557573,178.5101775,170.7803738,92.39649539,96.43208498,93.22393911,79.32498959,413.052,182.312,1.14013575
L27,1720.1176,1739.6641,1.35828565,1.287333599,1.485398205,1.529190073,1.528094968,1.283679625,2.053378864,2.009585293,2.578016844,-8.628,-12.2076,2.3656,15.1348,0.49212,-0.50883,-0.20285,-0.04034,-0.5517,-0.55059,-0.51253,0.48161,-0.2052,-0.04496,-0.46057,-0.45791,0.73231,-0.56599,-0.32471,1.04382,-1.0322,1.2983,1.05702,15.58382348,164.3177174,179.5036757,172.9522197,92.68878191,96.0521307,92.7320379,79.38586834,415.313,178.115,0.33299196
L5,1718.2096,1739.5195,1.357942593,1.287788168,1.485544069,1.528968962,1.528201579,1.283873987,2.05123699,2.008636634,2.579797555,-8.6134,-12.9272,1.6887,15.6255,0.49275,-0.5065,-0.20299,-0.04032,-0.55244,-0.55297,-0.51402,0.48286,-0.20454,-0.04539,-0.45999,-0.45789,0.7333,-0.56763,-0.32508,1.04519,-1.03583,1.30093,1.05838,14.74355431,165.5780174,178.9540856,171.7996524,92.71469055,96.01308997,92.75707595,79.38172794,509.311,198.225,0.439538855
L6,1715.9968,1736.3621,1.357241171,1.288178383,1.484967965,1.540143455,1.539694605,1.284464031,2.050889078,2.008086573,2.579470212,-8.3761,-12.7,1.7011,15.3083,0.49472,-0.50465,-0.20947,-0.0458,-0.55587,-0.55697,-0.5112,0.48528,-0.2114,-0.05181,-0.27452,-0.27145,0.73076,-0.5648,-0.32615,1.05059,-1.04225,1.29556,1.05691,14.85352432,164.6810391,179.0585323,170.1650175,92.43746076,96.39386996,93.13982438,79.33971345,507.077,204.717,1.250176081
L7,1704.7832,1734.9665,1.359655462,1.290052219,1.486083143,1.544939289,1.541169075,1.283733935,2.043404091,2.033901524,2.59811866,-8.7092,-12.2356,0.4454,15.0253,0.49173,-0.51189,-0.20036,-0.04742,-0.55459,-0.54887,-0.5165,0.48413,-0.20149,-0.05013,-0.27048,-0.27062,0.75082,-0.57115,-0.33384,1.04632,-1.033,1.32197,1.08466,7.306207954,174.9162525,167.6314272,160.3318655,94.84546074,98.26605275,92.05758783,79.58984035,521.894,210.994,1.704160404
L8,1731.6551,1780.4559,1.366644856,1.286754492,1.474650405,1.536995371,1.527488013,1.277940292,2.041322421,2.12415239,2.58987609,-8.5391,-9.1018,6.2552,13.9602,0.49052,-0.53632,-0.21252,-0.04112,-0.54968,-0.5643,-0.53309,0.4891,-0.20346,-0.05169,-0.26252,-0.26681,0.75861,-0.55483,-0.3169,1.0402,-1.0534,1.31344,1.07551,8.751100643,169.8652716,166.9846527,136.5170042,99.42914174,92.9664618,91.036978,80.13557228,356.321,125.84,1.39385208
L9,1727.8287,1777.1591,1.366398927,1.287374329,1.476197269,1.537360902,1.527052128,1.278463188,2.040106766,2.120016279,2.590416032,-8.5607,-9.0866,6.1764,13.9284,0.48937,-0.53658,-0.21389,-0.0409,-0.55104,-0.56459,-0.53373,0.48724,-0.20494,-0.05206,-0.26241,-0.26687,0.75776,-0.55375,-0.31737,1.04041,-1.05183,1.31151,1.07513,8.230841134,170.9189056,166.1850966,137.1869419,99.54252159,92.49877118,91.12726624,79.97425941,332.79,118.444,1.242531774
