,Vibration(1-5),Vibration(6-8),"Distance(1, 2)","Distance(1, 5)","Distance(1, 8)","Distance(10, 17)","Distance(4, 20)","Distance(6, 8)","Distance(6, 22)","Distance(5, 22)","Distance(22, 24)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_17,NPA_20,NPA_22,NPA_24,NPA_25,NPA_difference_1_5,NPA_difference_6_8,NPA_difference_22_24,NPA_difference_22_25,Dihedral(5_1_8_6),Dihedral(2_1_8_6),Dihedral(1_5_22_25),Dihedral(8_6_22_24),Angle(5_22_25),Angle(25_22_24),Angle(24_22_6),Angle(5_22_6),Iso polarisabilty,Aniso polarisabilty,Yield
L23,1667.207,1695.0837,1.362249421,1.287983223,1.470190383,1.535053039,1.533887753,1.284475348,2.003699782,1.952119059,2.460781205,-7.8082,-6.7111,4.0922,11.0794,0.41604,-0.42213,-0.22879,-0.06515,-0.38553,-0.3969,-0.42776,0.40653,-0.2296,-0.06826,-0.24179,-0.24091,0.21597,-0.33069,-0.08726,0.80157,0.80343,0.54666,0.04223,13.65729328,165.9123869,177.7991664,175.129102,92.29815486,91.85932497,95.68463753,81.01415596,474.558,220.355,42
L9,1678.9818,1732.1937,1.369049782,1.288628253,1.461704532,1.535465958,1.520663756,1.277990323,1.994062349,2.058799784,2.474599241,-7.9168,-8.5397,4.2537,12.3975,0.39923,-0.41241,-0.2305,-0.06264,-0.38985,-0.40839,-0.41424,0.3959,-0.22366,-0.08325,-0.21393,-0.23341,0.25281,-0.32429,-0.09174,0.81164,0.80429,0.5771,0.02439,3.903586603,176.4592507,165.216544,145.6608284,99.70626809,87.26923953,92.77699624,81.43222268,378.174,141.312,0
L8,1682.6326,1735.0965,1.369298075,1.288047023,1.460570474,1.535655863,1.520729564,1.277475064,1.996040602,2.062685634,2.47430422,-7.9886,-8.5526,4.2443,12.449,0.39997,-0.41652,-0.22937,-0.06254,-0.38915,-0.40818,-0.4189,0.39713,-0.22211,-0.08234,-0.21429,-0.23324,0.25439,-0.32413,-0.09183,0.81649,0.80531,0.57852,0.02975,4.149162245,176.0735586,165.1327654,146.2762528,99.55929902,87.28576057,92.71200126,81.54404109,404.506,151.088,0
L27,1662.6525,1692.5703,1.359285918,1.289396329,1.470503547,1.525596812,1.522744747,1.284763434,1.996828789,1.944530768,2.468881855,-7.6692,-10.977,1.1546,13.4404,0.41323,-0.41686,-0.22057,-0.07543,-0.38464,-0.3932,-0.42308,0.40309,-0.22193,-0.07667,-0.41046,-0.41001,0.22953,-0.34873,-0.09273,0.83009,0.79629,0.57826,0.03844,10.84732536,170.2212385,178.6561151,176.922317,93.01520639,91.61127425,94.7096826,80.91314182,475.782,202.658,30
L26,1663.0148,1692.5034,1.35739012,1.289738797,1.470009103,1.535176554,1.533267956,1.285143137,2.000210184,1.946300763,2.470253495,-7.3265,-10.6287,1.7427,13.0262,0.42165,-0.41977,-0.22936,-0.07234,-0.39621,-0.40379,-0.42448,0.41125,-0.23117,-0.07466,-0.23873,-0.23815,0.22461,-0.34698,-0.0925,0.84142,0.81504,0.57159,0.02827,13.61706677,166.4232764,178.1076943,173.3140987,92.66447997,92.1376798,95.35171619,80.88942008,472.309,205.876,70
L6,1668.72,1691.676,1.357823628,1.289500965,1.470312486,1.535278284,1.533428805,1.285846973,1.999141639,1.946564169,2.471030005,-7.287,-11.2547,0.931,13.4401,0.42263,-0.41873,-0.22913,-0.07205,-0.39594,-0.40825,-0.4245,0.41462,-0.2297,-0.07508,-0.23797,-0.23826,0.2256,-0.3487,-0.09311,0.84136,0.82287,0.5743,0.02856,12.92793895,166.5838503,177.9377039,173.4232319,92.65597335,92.15283956,95.27132054,80.91902812,573.425,233.291,70
L25,1691.4312,1672.3879,1.358043182,1.285571639,1.475268668,1.531252361,1.546365885,1.286995957,2.331120809,1.918056383,2.455739344,-7.6135,-10.3385,-0.3325,12.8437,0.43614,-0.41993,-0.22595,-0.06907,-0.42104,-0.42083,-0.4325,0.39142,-0.22419,-0.06785,-0.04523,-0.04332,0.26429,-0.34986,-0.04701,0.85607,0.81225,0.61415,0.01146,21.53322312,160.7458977,138.3840991,172.6148435,88.50395551,90.69542142,109.9900098,77.92995989,466.256,170.356,0
L7,1641.1414,1687.0378,1.36038462,1.292450526,1.469528258,1.541672325,1.535904158,1.285197891,1.991497377,1.973690799,2.479862914,-7.6675,-10.7603,-0.6032,13.2265,0.41451,-0.42012,-0.22068,-0.0757,-0.39553,-0.3973,-0.42556,0.40418,-0.21851,-0.08098,-0.22065,-0.22363,0.22912,-0.34486,-0.10032,0.83463,0.80148,0.57398,0.03003,4.014052149,178.903163,170.1031041,166.8122758,94.75816035,93.05675335,93.60266949,81.09520238,588.825,238.681,97
L24,1670.7372,1692.0022,1.357103842,1.289065236,1.470174893,1.535104945,1.533344816,1.285766163,2.001382045,1.960435356,2.467800434,-7.4802,-11.321,1.1047,13.6139,0.42397,-0.42077,-0.22871,-0.06285,-0.39891,-0.40981,-0.42316,0.41649,-0.22752,-0.06809,-0.24171,-0.24233,0.2233,-0.34382,-0.09182,0.84474,0.8263,0.56712,0.02425,14.73165096,163.9482491,178.7031719,174.7815062,92.54420771,92.09271806,94.97174906,81.24152052,549.611,234.135,25
L5,1668.4415,1691.5564,1.359659587,1.289230116,1.470634363,1.525576483,1.522790196,1.285559395,1.996312819,1.945048478,2.469753483,-7.5993,-11.6173,0.4436,13.8891,0.41491,-0.41597,-0.22047,-0.07545,-0.38465,-0.39774,-0.42178,0.40572,-0.22066,-0.07655,-0.41015,-0.40991,0.23044,-0.3506,-0.09354,0.83088,0.80346,0.58104,0.03713,10.78046858,169.6727128,178.5368886,176.6032448,92.9886301,91.68207688,94.65112845,80.93625352,577.107,227.475,39
