,Vibration(1-5),Vibration(6-8),"Distance(1, 2)","Distance(1, 5)","Distance(1, 8)","Distance(10, 17)","Distance(4, 20)","Distance(6, 8)","Distance(6, 22)","Distance(5, 22)","Distance(22, 24)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_17,NPA_20,NPA_22,NPA_24,NPA_25,NPA_difference_1_5,NPA_difference_6_8,NPA_difference_22_24,NPA_difference_22_25,Dihedral(5_1_8_6),Dihedral(2_1_8_6),Dihedral(1_5_22_25),Dihedral(8_6_22_24),Angle(5_22_25),Angle(25_22_24),Angle(24_22_6),Angle(5_22_6),Iso polarisabilty,Aniso polarisabilty,Yield
L23,1722.1181,1740.9568,1.362056613,1.286072068,1.485342024,1.539885175,1.53919982,1.282807339,2.054970089,2.02561248,2.571360243,-8.9919,-8.2803,4.9472,13.1868,0.49177,-0.50877,-0.21109,-0.0424,-0.54658,-0.54875,-0.51554,0.4795,-0.21139,-0.04802,-0.27658,-0.27295,0.72461,-0.55375,-0.32402,1.03835,-1.02825,1.27836,1.04863,16.56061345,162.6990256,179.5545915,172.205116,92.44875517,96.25979691,92.7882304,79.46767605,410.093,190.287,42
L24,1718.5043,1737.1705,1.356442401,1.288176002,1.48451096,1.540013433,1.539148678,1.284351952,2.048914621,2.024410887,2.579086482,-8.6737,-12.8175,1.8953,15.5921,0.49485,-0.50688,-0.20943,-0.04232,-0.55828,-0.55836,-0.5074,0.48534,-0.21203,-0.0473,-0.27581,-0.2722,0.73052,-0.56325,-0.32681,1.05313,-1.0437,1.29377,1.05733,16.20280359,162.9344991,179.4406083,170.6988941,92.59794366,96.38474492,92.5095447,79.60664359,484.163,207.484,25
L25,1738.3597,1715.5757,1.357463967,1.284556805,1.486436074,1.5417161,1.552950066,1.286463609,2.331342784,1.972559036,2.563297124,-8.3834,-11.9673,1.1754,14.6587,0.49943,-0.49999,-0.20841,-0.04176,-0.56429,-0.55313,-0.52451,0.47449,-0.20719,-0.04326,-0.08482,-0.08793,0.75105,-0.56105,-0.30143,1.06372,-1.02762,1.3121,1.05248,24.08810673,159.463408,140.6507074,173.1479916,89.75720933,97.03989278,108.0205638,77.44129343,410.747,164.745,0
L26,1717.4911,1736.9005,1.357182457,1.287896058,1.484868459,1.540212534,1.539410713,1.284051677,2.053617579,2.007842153,2.578093255,-8.3781,-12.0032,2.4805,14.8467,0.49399,-0.50607,-0.20933,-0.04566,-0.55546,-0.55387,-0.51104,0.48414,-0.21192,-0.05177,-0.27501,-0.27162,0.72968,-0.56351,-0.32544,1.04945,-1.03801,1.29319,1.05512,15.64984768,163.9557573,178.5101775,170.7803738,92.39649539,96.43208498,93.22393911,79.32498959,413.052,182.312,70
L27,1720.1176,1739.6641,1.35828565,1.287333599,1.485398205,1.529190073,1.528094968,1.283679625,2.053378864,2.009585293,2.578016844,-8.628,-12.2076,2.3656,15.1348,0.49212,-0.50883,-0.20285,-0.04034,-0.5517,-0.55059,-0.51253,0.48161,-0.2052,-0.04496,-0.46057,-0.45791,0.73231,-0.56599,-0.32471,1.04382,-1.0322,1.2983,1.05702,15.58382348,164.3177174,179.5036757,172.9522197,92.68878191,96.0521307,92.7320379,79.38586834,415.313,178.115,30
L5,1718.2096,1739.5195,1.357942593,1.287788168,1.485544069,1.528968962,1.528201579,1.283873987,2.05123699,2.008636634,2.579797555,-8.6134,-12.9272,1.6887,15.6255,0.49275,-0.5065,-0.20299,-0.04032,-0.55244,-0.55297,-0.51402,0.48286,-0.20454,-0.04539,-0.45999,-0.45789,0.7333,-0.56763,-0.32508,1.04519,-1.03583,1.30093,1.05838,14.74355431,165.5780174,178.9540856,171.7996524,92.71469055,96.01308997,92.75707595,79.38172794,509.311,198.225,39
L6,1715.9968,1736.3621,1.357241171,1.288178383,1.484967965,1.540143455,1.539694605,1.284464031,2.050889078,2.008086573,2.579470212,-8.3761,-12.7,1.7011,15.3083,0.49472,-0.50465,-0.20947,-0.0458,-0.55587,-0.55697,-0.5112,0.48528,-0.2114,-0.05181,-0.27452,-0.27145,0.73076,-0.5648,-0.32615,1.05059,-1.04225,1.29556,1.05691,14.85352432,164.6810391,179.0585323,170.1650175,92.43746076,96.39386996,93.13982438,79.33971345,507.077,204.717,70
L7,1704.7832,1734.9665,1.359655462,1.290052219,1.486083143,1.544939289,1.541169075,1.283733935,2.043404091,2.033901524,2.59811866,-8.7092,-12.2356,0.4454,15.0253,0.49173,-0.51189,-0.20036,-0.04742,-0.55459,-0.54887,-0.5165,0.48413,-0.20149,-0.05013,-0.27048,-0.27062,0.75082,-0.57115,-0.33384,1.04632,-1.033,1.32197,1.08466,7.306207954,174.9162525,167.6314272,160.3318655,94.84546074,98.26605275,92.05758783,79.58984035,521.894,210.994,97
L8,1731.6551,1780.4559,1.366644856,1.286754492,1.474650405,1.536995371,1.527488013,1.277940292,2.041322421,2.12415239,2.58987609,-8.5391,-9.1018,6.2552,13.9602,0.49052,-0.53632,-0.21252,-0.04112,-0.54968,-0.5643,-0.53309,0.4891,-0.20346,-0.05169,-0.26252,-0.26681,0.75861,-0.55483,-0.3169,1.0402,-1.0534,1.31344,1.07551,8.751100643,169.8652716,166.9846527,136.5170042,99.42914174,92.9664618,91.036978,80.13557228,356.321,125.84,0
L9,1727.8287,1777.1591,1.366398927,1.287374329,1.476197269,1.537360902,1.527052128,1.278463188,2.040106766,2.120016279,2.590416032,-8.5607,-9.0866,6.1764,13.9284,0.48937,-0.53658,-0.21389,-0.0409,-0.55104,-0.56459,-0.53373,0.48724,-0.20494,-0.05206,-0.26241,-0.26687,0.75776,-0.55375,-0.31737,1.04041,-1.05183,1.31151,1.07513,8.230841134,170.9189056,166.1850966,137.1869419,99.54252159,92.49877118,91.12726624,79.97425941,332.79,118.444,0
