,Vibration(1-5),Vibration(6-8),"Distance(1, 2)","Distance(1, 5)","Distance(1, 8)","Distance(10, 17)","Distance(4, 20)","Distance(6, 8)","Distance(6, 22)","Distance(5, 22)","Distance(22, 24)",dip_x,dip_y,dip_z,Total,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_7,NPA_8,NPA_9,NPA_10,NPA_17,NPA_20,NPA_22,NPA_24,NPA_25,NPA_difference_1_5,NPA_difference_6_8,NPA_difference_22_24,NPA_difference_22_25,Dihedral(5_1_8_6),Dihedral(2_1_8_6),Dihedral(1_5_22_25),Dihedral(8_6_22_24),Angle(5_22_25),Angle(25_22_24),Angle(24_22_6),Angle(5_22_6),Iso polarisabilty,Aniso polarisabilty,Yield
L23,1689.4124,1708.7002,1.359579707,1.281927621,1.482918505,1.536040577,1.535351333,1.277984092,2.062137431,2.040522147,2.573558337,-9.0556,-7.5928,4.9264,12.8033,0.42617,-0.4214,-0.2236,-0.05906,-0.43632,-0.43562,-0.42688,0.4157,-0.22408,-0.06487,-0.23873,-0.23978,0.5816,-0.51221,-0.23597,0.86249,-0.85132,1.09381,0.81757,14.77654688,165.430379,177.9300883,172.6198635,92.70928391,95.8333789,92.8945095,79.17992715,450.81,190.972,42
L24,1685.8211,1702.8165,1.354399453,1.283927561,1.482123568,1.536183933,1.535366083,1.279999179,2.056659471,2.040013167,2.581552186,-8.7838,-12.3979,1.8061,15.3012,0.43223,-0.41869,-0.22367,-0.058,-0.44922,-0.44916,-0.42067,0.42327,-0.22365,-0.06447,-0.2381,-0.23991,0.5889,-0.52285,-0.23955,0.88145,-0.87243,1.11175,0.82845,15.36892827,164.3624907,178.0362993,171.5782506,92.80610276,96.00666361,92.56702784,79.37583878,523.338,204.951,25
L25,1700.5547,1685.1996,1.354600094,1.281333343,1.483809923,1.534982623,1.549093284,1.281469581,2.411744452,1.976073463,2.555271568,-8.4858,-11.4034,0.5295,14.2241,0.44397,-0.41592,-0.22021,-0.06195,-0.46956,-0.44367,-0.43334,0.39516,-0.21656,-0.0596,-0.05157,-0.05021,0.61024,-0.52115,-0.20407,0.91353,-0.83883,1.13139,0.81431,24.11238559,158.7274378,140.5824699,179.9509166,89.7457812,96.48806836,106.8811297,75.93397655,446.911,160.257,0
L26,1686.0734,1703.5416,1.354770652,1.283666437,1.482050564,1.536599793,1.535975185,1.279459182,2.062014633,2.021367669,2.580472467,-8.4834,-11.6317,2.384,14.5927,0.43059,-0.41835,-0.22331,-0.06615,-0.447,-0.44315,-0.42274,0.41957,-0.22547,-0.07027,-0.23558,-0.23605,0.5873,-0.52386,-0.23739,0.87759,-0.86272,1.11116,0.82469,14.99970425,164.9787468,179.4726467,171.289344,92.61787462,96.17488613,93.17886561,79.13988419,449.324,180.923,70
L27,1687.0205,1704.1293,1.35597863,1.283265717,1.482528171,1.526385583,1.525316161,1.279269705,2.061146832,2.021795699,2.580069901,-8.7575,-11.9164,2.2359,14.9564,0.42432,-0.41571,-0.21539,-0.06976,-0.43766,-0.43441,-0.41955,0.41282,-0.2171,-0.07286,-0.4051,-0.40472,0.59014,-0.52617,-0.23706,0.86198,-0.84723,1.11631,0.8272,14.71873701,165.3901164,178.6522123,173.4882332,92.89762822,95.94118755,92.6727191,79.13697985,452.768,177.609,30
L5,1685.0514,1703.2044,1.355680573,1.2835573,1.482753007,1.52635879,1.525477888,1.279854572,2.059763181,2.020863594,2.581286879,-8.7018,-12.6889,1.5365,15.4625,0.42571,-0.41358,-0.21519,-0.06973,-0.43862,-0.43835,-0.41938,0.4151,-0.21739,-0.07296,-0.40456,-0.40459,0.59112,-0.52785,-0.23757,0.86433,-0.85345,1.11897,0.82869,14.27306844,165.9130372,178.3281033,172.6790986,92.89648311,95.92545496,92.69445746,79.14916651,550.245,199.773,39
L6,1684.107,1702.0716,1.354906945,1.283834875,1.482442661,1.536626538,1.53625396,1.280209697,2.060161663,2.020616414,2.581544837,-8.4505,-12.3868,1.5491,15.0746,0.43198,-0.41688,-0.22324,-0.06618,-0.44745,-0.44744,-0.42244,0.42196,-0.22566,-0.07055,-0.23503,-0.23606,0.58819,-0.52529,-0.23773,0.87943,-0.8694,1.11348,0.82592,14.25863678,165.5355912,179.6202123,171.0522014,92.61402276,96.10200388,93.20527664,79.14287742,546.787,205.504,70
L7,1674.8549,1701.6068,1.35854382,1.285468526,1.483330813,1.541186596,1.537736502,1.279342642,2.051670955,2.04598326,2.598778749,-8.74,-11.8465,0.0964,14.7219,0.42464,-0.42036,-0.21495,-0.0712,-0.4442,-0.43822,-0.42384,0.41475,-0.21419,-0.07706,-0.21805,-0.22116,0.59996,-0.53268,-0.24952,0.86884,-0.85297,1.13264,0.84948,5.618991464,176.8362385,168.7708229,161.052318,94.82017839,97.85631701,92.0001268,79.34170677,561.984,211.927,97
L8,1694.1907,1738.6745,1.368132913,1.282542627,1.47310102,1.533153426,1.523053984,1.274281433,2.051954799,2.145455532,2.5873308,-8.5163,-8.7235,5.9849,13.5811,0.40632,-0.41855,-0.22025,-0.05896,-0.43366,-0.45032,-0.41603,0.41159,-0.21752,-0.07969,-0.2105,-0.22958,0.61533,-0.51489,-0.23365,0.83998,-0.86191,1.13022,0.84898,7.122037159,172.4568876,164.8602461,135.9681905,99.58222478,92.34377789,91.36998442,79.47104599,387.546,135.687,0
L9,1690.2524,1736.1131,1.368263325,1.283076463,1.474607313,1.53357523,1.522977011,1.274530942,2.050980713,2.140716409,2.587649772,-8.4991,-8.6961,5.8634,13.4995,0.4056,-0.41508,-0.22129,-0.05891,-0.43408,-0.44942,-0.41286,0.4103,-0.21877,-0.08066,-0.21026,-0.22976,0.61366,-0.51392,-0.23347,0.83968,-0.85972,1.12758,0.84713,6.415740605,173.4741789,164.6600089,136.5256486,99.71465661,92.03624849,91.4747429,79.31614418,362.256,128.139,0
